disease_id,disease_name_en,disease_name_kn,disease_name_te,disease_name_hi,symptoms_en,symptoms_kn,symptoms_te,symptoms_hi,prevention_en,prevention_kn,prevention_te,prevention_hi
1,Dengue,ಡೆಂಗ್ಯೂ,ಡೆಂಗ್ಯೂ,डेंगू,"High fever, headache, joint pain, skin rash","ಹೆಚ್ಚಿನ ಜ್ವರ, ತಲೆನೋವು, ಕೀಲು ನೋವು, ಚರ್ಮದ ದದ್ದು","అధిక జ్వరం, తలనొప్పి, కీళ్ల నొప్పులు, చర్మంపై దద్దుర్లు","तेज बुखार, सिरदर्द, जोड़ों में दर्द, त्वचा पर चकत्ते","Use mosquito nets, wear long sleeves, remove stagnant water","ಸೊಳ್ಳೆ ಪರದೆಗಳನ್ನು ಬಳಸಿ, ಉದ್ದನೆಯ ತೋಳಿನ ಬಟ್ಟೆ ಧರಿಸಿ, ನಿಂತ ನೀರನ್ನು ತೆಗೆದುಹಾಕಿ","దోమతెరలు వాడండి, పొడవాటి చేతుల దుస్తులు ధరించండి, నిల్వ ఉన్న నీటిని తొలగించండి","मच्छरदानी का प्रयोग करें, पूरी बाजू के कपड़े पहनें, जमा हुआ पानी हटा दें"
2,Malaria,ಮಲೇರಿಯಾ,మలేరియా,मलेरिया,"Chills, fever, sweating, muscle pain","ಚಳಿ, ಜ್ವರ, ಬೆವರುವುದು, ಸ್ನಾಯು ನೋವು","చలి, జ్వరం, చెమటలు పట్టడం, కండరాల నొప్పులు","कंपकंपी, बुखार, पसीना आना, मांसपेशियों में दर्द","Use insect repellent, sleep under nets, clear bushes","ಕೀಟನಾಶಕ ಬಳಸಿ, ಪರದೆಗಳ ಅಡಿಯಲ್ಲಿ ಮಲಗಿ, ಪೊದೆಗಳನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿ","కీటక వికర్షకాలను వాడండి, దోమతెరల కింద నిద్రించండి, పొదలను శుభ్రం చేయండి","कीट भगाने वाली दवाओं का प्रयोग करें, मच्छरदानी के नीचे सोएं, झाड़ियों को साफ करें"
3,COVID-19,ಕೋವಿಡ್-19,కోవిడ్-19,कोविड-19,"Cough, fever, loss of taste or smell, tiredness","ಕೆಮ್ಮು, ಜ್ವರ, ರುಚಿ ಅಥವಾ ವಾಸನೆ ಕಳೆದುಕೊಳ್ಳುವುದು, ಆಯಾಸ","దగ్గు, జ్వరం, రుచి లేదా వాసన కోల్పోవడం, అలసట","खांसी, बुखार, स्वाद या गंध का कम होना, थकान","Wear masks, maintain social distance, wash hands often","ಮಾಸ್ಕ್ ಧರಿಸಿ, ಸಾಮಾಜಿಕ ಅಂತರ ಕಾಯ್ದುಕೊಳ್ಳಿ, ಕೈಗಳನ್ನು ಆಗಾಗ್ಗೆ ತೊಳೆಯಿರಿ","మాస్క్‌లు ధరించండి, సామాజిక దూరం పాటించండి, చేతులు తరచుగా కడుక్కోండి","मास्क पहनें, सामाजिक दूरी बनाए रखें, बार-बार हाथ धोएं"
4,Typhoid,ಟೈಫಾಯಿಡ್,టైఫాయిడ్,टाइफाइड,"High fever, weakness, stomach pain, headache","ಹೆಚ್ಚಿನ ಜ್ವರ, ದೌರ್ಬಲ್ಯ, ಹೊಟ್ಟೆ ನೋವು, ತಲೆನೋವು","అధిక జ్వరం, బలహీనత, కడుపు నొప్పి, తలనొప్పి","तेज बुखार, कमजोरी, पेट दर्द, सिरदर्द","Drink boiled water, eat hot food, maintain hygiene","ಕುದಿಸಿದ ನೀರನ್ನು ಕುಡಿಯಿರಿ, ಬಿಸಿ ಆಹಾರ ಸೇವಿಸಿ, ನೈರ್ಮಲ್ಯ ಕಾಪಾಡಿಕೊಳ್ಳಿ","కాచుకున్న నీటిని తాగండి, వేడి ఆహారం తీసుకోండి, పరిశుభ్రత పాటించండి","उबला हुआ पानी पिएं, गर्म खाना खाएं, स्वच्छता बनाए रखें"
5,Tuberculosis,ಕ್ಷಯರೋಗ,క్షయవ్యాధి,तपेदिक (टीबी),"Cough with blood, weight loss, night sweats, fever","ರಕ್ತದೊಂದಿಗೆ ಕೆಮ್ಮು, ತೂಕ ಇಳಿಕೆ, ರಾತ್ರಿ ಬೆವರುವುದು, ಜ್ವರ","రక్తంతో కూడిన దగ్గు, బరువు తగ్గడం, రాత్రిపూట చెమటలు పట్టడం, జ్వరం","खून वाली खांसी, वजन कम होना, रात में पसीना आना, बुखार","Complete the DOTS course, cover mouth when coughing, good ventilation","DOTS ಕೋರ್ಸ್ ಪೂರ್ಣಗೊಳಿಸಿ, ಕೆಮ್ಮುವಾಗ ಬಾಯಿ ಮುಚ್ಚಿಕೊಳ್ಳಿ, ಉತ್ತಮ ಗಾಳಿ ಸಂಚಾರ","DOTS కోర్సు పూర్తి చేయండి, దగ్గేటప్పుడు నోరు మూసుకోండి, మంచి గాలి వెలుతురు","डॉट्स कोर्स पूरा करें, खांसते समय मुंह ढकें, वेंटिलेशन अच्छा रखें"
6,Cholera,ಕಲರಾ,కలరా,हैजा,"Watery diarrhea, vomiting, dehydration, muscle cramps","ನೀರಿನಂತಹ ಅತಿಸಾರ, ವಾಂತಿ, ನಿರ್ಜಲೀಕರಣ, ಸ್ನಾಯು ಸೆಳೆತ","నీళ్ల విరేచనాలు, వాంతులు, నిర్జలీకరణం, కండరాల తిమ్మిర్లు","पानी जैसा दस्त, उल्टी, निर्जलीकरण, मांसपेशियों में ऐंठन","Drink safe water, eat well-cooked food, hand washing","ಸುರಕ್ಷಿತ ನೀರನ್ನು ಕುಡಿಯಿರಿ, ಚೆನ್ನಾಗಿ ಬೇಯಿಸಿದ ಆಹಾರ ಸೇವಿಸಿ, ಕೈ ತೊಳೆಯಿರಿ","సురక్షితమైన నీటిని తాగండి, బాగా ఉడికించిన ఆహారం తినండి, చేతులు కడుక్కోండి","सुरक्षित पानी पिएं, अच्छी तरह पका हुआ खाना खाएं, हाथ धोएं"
7,Influenza,ಫ್ಲೂ,ఫ్లూ,इंफ्लुएंजा,"Fever, sore throat, running nose, body aches","ಜ್ವರ, ಗಂಟಲು ನೋವು, ಮೂಗು ಸೋರುವುದು, ಮೈಕೈ ನೋವು","జ్వరం, గొంతు నొప్పి, ముక్కు కారడం, ఒళ్లు నొప్పులు","बुखार, गले में खराश, बहती नाक, शरीर में दर्द","Annual flu vaccine, avoid crowds, cover sneeze","ವಾರ್ಷಿಕ ಫ್ಲೂ ಲಸಿಕೆ ಪಡೆಯಿರಿ, ಜನಸಂದಣಿ ತಪ್ಪಿಸಿ, ಸೀನುವಾಗ ಮುಚ್ಚಿಕೊಳ್ಳಿ","వార్షిక ఫ్లూ టీకా వేయించుకోండి, గుంపులకు దూరంగా ఉండండి, తుమ్మేటప్పుడు కవర్ చేసుకోండి","वार्षिक फ्लू का टीका लगवाएं, भीड़भाड़ से बचें, छींकते समय मुंह ढकें"
8,Diabetes,ಮಧುಮೇಹ,మధుమేహం,मधुमेह,"Excessive thirst, frequent urination, blur vision, slow healing","ಅತಿಯಾದ ಬಾಯಾರಿಕೆ, ಪದೇ ಪದೇ ಮೂತ್ರ ವಿಸರ್ಜನೆ, ಅಸ್ಪಷ್ಟ ದೃಷ್ಟಿ, ನಿಧಾನವಾಗಿ ವಾಸಿಯಾಗುವ ಗಾಯಗಳು","అతిగా దాహం వేయడం, తరచుగా మూత్ర విసర్జన, దృష్టి మసకబారడం, నెమ్మదిగా నయం కావడం","अत्यधिक प्यास लगना, बार-बार पेशाब आना, धुंधली दृष्टि, घाव भरने में देरी","Low sugar diet, regular exercise, weight management","ಕಡಿಮೆ ಸಕ್ಕರೆ ಆಹಾರ, ನಿಯಮಿತ ವ್ಯಾಯಾಮ, ತೂಕ ನಿರ್ವಹಣೆ","తక్కువ చక్కెర ఆహారం, క్రమం తప్పకుండా వ్యాయామం, బరువు నియంత్రణ","कम शुगर वाला आहार, नियमित व्यायाम, वजन प्रबंधन"
9,Hypertension,ರಕ್ತದೊತ್ತಡ,అధిక రక్తపోటు,उच्च रक्तचाप,"Severe headache, chest pain, dizziness, difficulty breathing","ತೀವ್ರ ತಲೆನೋವು, ಎದೆ ನೋವು, ತಲೆಸುತ್ತು, ಉಸಿರಾಟದ ತೊಂದರೆ","తీవ్రమైన తలనొప్పి, ఛాతి నొప్పి, కళ్ళు తిరగడం, శ్వాస తీసుకోవడంలో ఇబ్బంది","तेज सिरदर्द, सीने में दर्द, चक्कर आना, सांस लेने में कठिनाई","Reduce salt intake, manage stress, limiting alcohol","ಉಪ್ಪು ಸೇವನೆ ಕಡಿಮೆ ಮಾಡಿ, ಒತ್ತಡ ನಿರ್ವಹಿಸಿ, ಮದ್ಯಪಾನ ಮಿತಿಗೊಳಿಸಿ","ఉప్పు వాడకాన్ని తగ్గించండి, ఒత్తిడిని నియంత్రించండి, మద్యం పరిమితం చేయండి","नमक का सेवन कम करें, तनाव का प्रबंधन करें, शराब सीमित करें"
10,Asthma,ದಮ್ಮು,ఆస్తమా,अस्थमा,"Shortness of breath, wheezing, coughing, chest tightness","ಉಸಿರಾಟದ ತೊಂದರೆ, ಉಸಿರು ಎಳೆಯುವುದು, ಕೆಮ್ಮು, ಎದೆ ಬಿಗಿತ","శ్వాస ఆడకపోవడం, పిల్లి కూతలు, దగ్గు, ఛాతి పట్టేయడం","सांस की तकलीफ, घरघराहट, खांसी, सीने में जकड़न","Identify triggers, use inhalers as prescribed, avoid smoke","ಪ್ರೇರಕಗಳನ್ನು ಗುರುತಿಸಿ, ಸೂಚಿಸಿದಂತೆ ಇನ್ಹೇಲರ್ ಬಳಸಿ, ಹೊಗೆ ತಪ್ಪಿಸಿ","ప్రేరకాలను గుర్తించండి, సూచించిన విధంగా ఇన్హేలర్లు వాడండి, పొగకు దూరంగా ఉండండి","ट्रिगर को पहचानें, बताए अनुसार इनहेलर का उपयोग करें, धुएं से बचें"
